date,hospitalizations,msk_new_cases
2020-03-25,,120
2020-03-26,,136
2020-03-27,,157
2020-03-28,,114
2020-03-29,,197
2020-03-30,,212
2020-03-31,,387
2020-04-01,,267
2020-04-02,,595
2020-04-03,,448
2020-04-04,,434
2020-04-05,,536
2020-04-06,,591
2020-04-07,,697
2020-04-08,,660
2020-04-09,,857
2020-04-10,,1124
2020-04-11,,1030
2020-04-12,,1306
2020-04-13,,1355
2020-04-14,,1489
2020-04-15,,1774
2020-04-16,,1370
2020-04-17,,1959
2020-04-18,,2649
2020-04-19,,3570
2020-04-20,1445,2026
2020-04-21,1819,3083
2020-04-22,1935,2548
2020-04-23,1676,1959
2020-04-24,1987,2957
2020-04-25,1667,2612
2020-04-26,1457,2971
2020-04-27,1856,2871
2020-04-28,1690,3075
2020-04-29,1739,2220
2020-04-30,1734,3093
2020-05-01,1627,3561
2020-05-02,1530,5358
2020-05-03,1623,5948
2020-05-04,1546,5795
2020-05-05,1598,5714
2020-05-06,1663,5858
2020-05-07,1745,6703
2020-05-08,1649,5846
2020-05-09,1470,5667
2020-05-10,1287,5551
2020-05-11,1365,6169
2020-05-12,1459,5392
2020-05-13,1380,4703
2020-05-14,1346,4712
2020-05-15,1209,4748
2020-05-16,996,3505
2020-05-17,800,3855
2020-05-18,1041,3238
2020-05-19,903,3545
2020-05-20,881,2699
2020-05-21,849,2913
2020-05-22,888,2988
2020-05-23,681,3190
2020-05-24,680,2516
2020-05-25,812,2560
2020-05-26,867,2830
2020-05-27,848,2140
2020-05-28,786,2054
2020-05-29,789,2332
2020-05-30,757,2367
2020-05-31,588,2595
2020-06-01,832,2297
2020-06-02,823,2286
2020-06-03,865,1842
2020-06-04,769,1998
2020-06-05,807,1855
2020-06-06,630,1992
2020-06-07,548,1956
2020-06-08,727,2001
2020-06-09,701,1572
2020-06-10,680,1195
2020-06-11,634,1436
2020-06-12,480,1714
2020-06-13,483,1493
2020-06-14,403,1477
2020-06-15,517,1359
2020-06-16,556,1416
2020-06-17,497,1065
